OVERS,MDNS,RUNS,WKTS,ECON,AVE,SR,OPPOSITION,GROUND,`START_DATE`,MATCH_ID,BOWLER,PLAYER_ID
-,-,-,-,-,-,-,v Pakistan,Providence,09-Apr-17,ODI # 3862,Shai Hope,581379
-,-,-,-,-,-,-,v Pakistan,Providence,11-Apr-17,ODI # 3863,Shai Hope,581379
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,09-Jun-17,ODI # 3884,Shai Hope,581379
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,11-Jun-17,ODI # 3887,Shai Hope,581379
-,-,-,-,-,-,-,v Afghanistan,Gros Islet,14-Jun-17,ODI # 3890,Shai Hope,581379
-,-,-,-,-,-,-,v India,Port of Spain,23-Jun-17,ODI # 3895,Shai Hope,581379
-,-,-,-,-,-,-,v India,Port of Spain,25-Jun-17,ODI # 3896,Shai Hope,581379
-,-,-,-,-,-,-,v India,North Sound,30-Jun-17,ODI # 3898,Shai Hope,581379
-,-,-,-,-,-,-,v India,North Sound,02-Jul-17,ODI # 3900,Shai Hope,581379
-,-,-,-,-,-,-,v India,Kingston,06-Jul-17,ODI # 3902,Shai Hope,581379
-,-,-,-,-,-,-,v England,Manchester,19-Sep-17,ODI # 3911,Shai Hope,581379
-,-,-,-,-,-,-,v England,Nottingham,21-Sep-17,ODI # 3913,Shai Hope,581379
-,-,-,-,-,-,-,v England,Bristol,24-Sep-17,ODI # 3915,Shai Hope,581379
-,-,-,-,-,-,-,v England,The Oval,27-Sep-17,ODI # 3916,Shai Hope,581379
-,-,-,-,-,-,-,v England,Southampton,29-Sep-17,ODI # 3918,Shai Hope,581379
-,-,-,-,-,-,-,v New Zealand,Whangarei,20-Dec-17,ODI # 3943,Shai Hope,581379
-,-,-,-,-,-,-,v New Zealand,Christchurch,23-Dec-17,ODI # 3944,Shai Hope,581379
-,-,-,-,-,-,-,v New Zealand,Christchurch,26-Dec-17,ODI # 3945,Shai Hope,581379
-,-,-,-,-,-,-,v U.A.E.,Harare,06-Mar-18,ODI # 3987,Shai Hope,581379
-,-,-,-,-,-,-,v P.N.G.,Harare,08-Mar-18,ODI # 3991,Shai Hope,581379
-,-,-,-,-,-,-,v Ireland,Harare,10-Mar-18,ODI # 3993,Shai Hope,581379
-,-,-,-,-,-,-,v Afghanistan,Harare,15-Mar-18,ODI # 3997,Shai Hope,581379
-,-,-,-,-,-,-,v Zimbabwe,Harare,19-Mar-18,ODI # 4002,Shai Hope,581379
-,-,-,-,-,-,-,v Scotland,Harare,21-Mar-18,ODI # 4004,Shai Hope,581379
-,-,-,-,-,-,-,v Afghanistan,Harare,25-Mar-18,ODI # 4007,Shai Hope,581379
-,-,-,-,-,-,-,v Bangladesh,Providence,22-Jul-18,ODI # 4022,Shai Hope,581379
-,-,-,-,-,-,-,v Bangladesh,Providence,25-Jul-18,ODI # 4023,Shai Hope,581379
-,-,-,-,-,-,-,v Bangladesh,Basseterre,28-Jul-18,ODI # 4024,Shai Hope,581379
-,-,-,-,-,-,-,v India,Guwahati,21-Oct-18,ODI # 4056,Shai Hope,581379
-,-,-,-,-,-,-,v India,Visakhapatnam,24-Oct-18,ODI # 4059,Shai Hope,581379
-,-,-,-,-,-,-,v India,Pune,27-Oct-18,ODI # 4062,Shai Hope,581379
-,-,-,-,-,-,-,v India,Mumbai (BS),29-Oct-18,ODI # 4063,Shai Hope,581379
-,-,-,-,-,-,-,v India,Thiruvananthapuram,01-Nov-18,ODI # 4064,Shai Hope,581379
-,-,-,-,-,-,-,v Bangladesh,Dhaka,09-Dec-18,ODI # 4071,Shai Hope,581379
-,-,-,-,-,-,-,v Bangladesh,Dhaka,11-Dec-18,ODI # 4072,Shai Hope,581379
-,-,-,-,-,-,-,v Bangladesh,Sylhet,14-Dec-18,ODI # 4073,Shai Hope,581379
-,-,-,-,-,-,-,v England,Bridgetown,20-Feb-19,ODI # 4096,Shai Hope,581379
-,-,-,-,-,-,-,v England,Bridgetown,22-Feb-19,ODI # 4097,Shai Hope,581379
